,word,num_words,ranking,ranking_log,num_words_log
120,mão,53,120,4.78749174278,3.97029191355
121,vezes,53,121,4.7957905456,3.97029191355
122,amor,52,122,4.80402104473,3.95124371858
123,fim,52,123,4.81218435537,3.95124371858
124,também,52,124,4.82028156561,3.95124371858
125,este,52,125,4.8283137373,3.95124371858
126,Lobo,52,126,4.83628190695,3.95124371858
127,comigo,52,127,4.84418708646,3.95124371858
128,meus,52,128,4.85203026392,3.95124371858
129,seu,52,129,4.85981240436,3.95124371858
130,fui,52,130,4.86753445046,3.95124371858
131,fora,51,131,4.8751973232,3.93182563272
132,Neves,51,132,4.88280192259,3.93182563272
133,essa,51,133,4.89034912822,3.93182563272
134,si,50,134,4.89783979995,3.91202300543
135,verdade,49,135,4.90527477844,3.89182029811
136,havia,48,136,4.91265488574,3.87120101091
137,talvez,48,137,4.91998092583,3.87120101091
138,fosse,48,138,4.92725368516,3.87120101091
139,pela,48,139,4.93447393313,3.87120101091
140,Cubas,48,140,4.94164242261,3.87120101091
141,melhor,48,141,4.94875989038,3.87120101091
142,capítulo,48,142,4.9558270576,3.87120101091
143,ter,48,143,4.96284463026,3.87120101091
144,modo,47,144,4.96981329958,3.85014760171
145,livro,47,145,4.97673374242,3.85014760171
146,certo,47,146,4.98360662171,3.85014760171
147,triste,46,147,4.99043258678,3.82864139649
148,nossa,46,148,4.99721227376,3.82864139649
149,olhar,46,149,5.00394630595,3.82864139649
150,todas,46,150,5.0106352941,3.82864139649
151,eram,45,151,5.01727983681,3.80666248977
152,isso,45,152,5.02388052085,3.80666248977
153,algum,45,153,5.03043792139,3.80666248977
154,noite,44,154,5.03695260241,3.78418963392
155,outras,44,155,5.04342511692,3.78418963392
156,quem,43,156,5.04985600725,3.76120011569
157,nas,43,157,5.05624580535,3.76120011569
158,mãe,42,158,5.06259503303,3.73766961828
159,sua,41,159,5.06890420222,3.7135720667
160,pé,41,160,5.07517381523,3.7135720667
161,mãos,41,161,5.08140436498,3.7135720667
162,tal,40,162,5.08759633523,3.68887945411
163,pelo,40,163,5.09375020081,3.68887945411
164,parte,40,164,5.09986642782,3.68887945411
165,tu,40,165,5.1059454739,3.68887945411
166,porta,40,166,5.11198778836,3.68887945411
167,seus,40,167,5.11799381242,3.68887945411
168,No,39,168,5.1239639794,3.66356164613
169,filha,39,169,5.12989871492,3.66356164613
170,ir,39,170,5.13579843705,3.66356164613
171,enfim,39,171,5.1416635565,3.66356164613
172,ver,39,172,5.14749447681,3.66356164613
173,primeira,38,173,5.1532915945,3.63758615973
174,palavra,38,174,5.15905529921,3.63758615973
175,marido,38,175,5.16478597392,3.63758615973
